iter	Passed	Remaining
0	26	26852
1	39	19763
2	52	17325
3	64	16154
4	77	15445
5	89	14882
6	101	14444
7	114	14162
8	127	14003
9	140	13952
10	153	13833
11	166	13688
12	179	13607
13	192	13543
14	205	13480
15	217	13390
16	230	13319
17	242	13246
18	255	13190
19	268	13136
20	279	13052
21	293	13031
22	307	13041
23	320	13016
24	332	12964
25	345	12957
26	358	12923
27	371	12880
28	382	12823
29	395	12794
30	409	12785
31	421	12764
32	433	12717
33	446	12688
34	458	12648
35	472	12644
36	485	12626
37	496	12566
38	508	12539
39	521	12527
40	535	12533
41	547	12491
42	560	12475
43	573	12457
44	587	12469
45	599	12441
46	612	12421
47	625	12397
48	637	12379
49	651	12371
50	664	12356
51	676	12332
52	689	12312
53	702	12305
54	714	12282
55	727	12264
56	740	12249
57	753	12230
58	765	12201
59	778	12195
60	792	12197
61	808	12226
62	820	12208
63	833	12188
64	846	12175
65	861	12195
66	875	12184
67	887	12162
68	901	12158
69	913	12141
70	925	12107
71	937	12085
72	950	12076
73	963	12057
74	976	12038
75	989	12025
76	1002	12011
77	1015	12004
78	1028	11985
79	1040	11966
80	1053	11949
81	1065	11928
82	1078	11916
83	1091	11901
84	1104	11885
85	1119	11893
86	1131	11876
87	1145	11867
88	1157	11850
89	1170	11832
90	1182	11811
91	1194	11793
92	1207	11774
93	1219	11753
94	1232	11740
95	1247	11745
96	1260	11738
97	1273	11720
98	1285	11702
99	1300	11702
100	1312	11684
101	1325	11668
102	1338	11655
103	1353	11657
104	1366	11648
105	1380	11641
106	1392	11621
107	1404	11603
108	1417	11584
109	1430	11575
110	1443	11563
111	1456	11548
112	1469	11531
113	1483	11527
114	1495	11512
115	1508	11497
116	1521	11482
117	1534	11467
118	1547	11458
119	1561	11448
120	1573	11430
121	1586	11420
122	1598	11400
123	1612	11388
124	1625	11376
125	1638	11363
126	1648	11332
127	1661	11320
128	1674	11303
129	1686	11286
130	1699	11271
131	1712	11260
132	1726	11255
133	1739	11243
134	1752	11226
135	1765	11213
136	1777	11199
137	1790	11183
138	1802	11168
139	1818	11167
140	1833	11167
141	1847	11160
142	1859	11146
143	1871	11126
144	1885	11118
145	1898	11103
146	1910	11084
147	1922	11068
148	1935	11054
149	1946	11031
150	1959	11017
151	1971	11000
152	1983	10981
153	1996	10967
154	2009	10956
155	2023	10947
156	2036	10936
157	2049	10919
158	2062	10908
159	2075	10896
160	2088	10882
161	2100	10867
162	2114	10859
163	2127	10844
164	2139	10829
165	2152	10813
166	2165	10800
167	2177	10783
168	2190	10772
169	2203	10758
170	2216	10745
171	2228	10728
172	2241	10716
173	2256	10711
174	2268	10694
175	2281	10680
176	2294	10666
177	2306	10652
178	2318	10635
179	2332	10625
180	2345	10612
181	2358	10601
182	2372	10589
183	2383	10571
184	2396	10557
185	2410	10547
186	2423	10538
187	2438	10530
188	2450	10513
189	2463	10500
190	2475	10487
191	2488	10470
192	2501	10457
193	2514	10445
194	2526	10431
195	2540	10419
196	2552	10403
197	2564	10388
198	2577	10376
199	2591	10366
200	2604	10355
201	2617	10339
202	2630	10325
203	2642	10309
204	2654	10293
205	2667	10280
206	2680	10268
207	2692	10252
208	2705	10238
209	2719	10228
210	2731	10213
211	2744	10199
212	2756	10185
213	2769	10172
214	2782	10158
215	2795	10144
216	2807	10131
217	2820	10116
218	2832	10100
219	2846	10091
220	2861	10085
221	2876	10080
222	2889	10069
223	2904	10062
224	2916	10046
225	2929	10033
226	2941	10017
227	2955	10005
228	2969	9997
229	2982	9984
230	2995	9971
231	3008	9958
232	3021	9945
233	3034	9934
234	3047	9919
235	3059	9905
236	3073	9895
237	3086	9882
238	3098	9866
239	3110	9851
240	3123	9836
241	3135	9820
242	3147	9804
243	3159	9790
244	3172	9776
245	3185	9762
246	3197	9747
247	3209	9733
248	3222	9719
249	3235	9706
250	3247	9691
251	3259	9676
252	3272	9662
253	3285	9649
254	3297	9635
255	3310	9619
256	3322	9605
257	3334	9590
258	3347	9576
259	3359	9562
260	3372	9548
261	3385	9536
262	3399	9525
263	3412	9512
264	3426	9502
265	3439	9489
266	3452	9478
267	3465	9464
268	3478	9452
269	3492	9443
270	3505	9428
271	3516	9412
272	3530	9402
273	3543	9388
274	3556	9375
275	3568	9361
276	3582	9349
277	3595	9337
278	3608	9324
279	3621	9311
280	3634	9299
281	3646	9284
282	3658	9269
283	3671	9256
284	3684	9243
285	3697	9229
286	3710	9219
287	3723	9205
288	3736	9191
289	3749	9179
290	3763	9169
291	3776	9156
292	3788	9141
293	3801	9128
294	3815	9117
295	3828	9105
296	3841	9092
297	3855	9081
298	3867	9068
299	3881	9057
300	3894	9044
301	3909	9036
302	3924	9027
303	3937	9015
304	3951	9004
305	3964	8992
306	3977	8978
307	3990	8965
308	4004	8954
309	4017	8942
310	4030	8930
311	4043	8917
312	4055	8902
313	4068	8889
314	4082	8877
315	4095	8863
316	4107	8849
317	4119	8835
318	4133	8823
319	4146	8810
320	4159	8798
321	4172	8785
322	4185	8771
323	4197	8758
324	4211	8746
325	4224	8734
326	4237	8720
327	4251	8709
328	4264	8696
329	4277	8683
330	4289	8668
331	4300	8653
332	4314	8641
333	4326	8627
334	4339	8614
335	4352	8601
336	4365	8587
337	4378	8575
338	4390	8561
339	4402	8545
340	4415	8532
341	4427	8518
342	4440	8506
343	4453	8492
344	4466	8479
345	4480	8469
346	4495	8460
347	4515	8460
348	4532	8455
349	4548	8447
350	4563	8437
351	4577	8425
352	4589	8412
353	4602	8398
354	4615	8385
355	4629	8374
356	4644	8365
357	4658	8354
358	4671	8340
359	4686	8330
360	4700	8319
361	4713	8308
362	4729	8298
363	4742	8287
364	4756	8275
365	4770	8264
366	4785	8254
367	4802	8248
368	4817	8238
369	4833	8229
370	4848	8220
371	4863	8210
372	4877	8199
373	4893	8190
374	4907	8179
375	4921	8166
376	4935	8156
377	4951	8147
378	4964	8135
379	4980	8125
380	4993	8113
381	5007	8100
382	5021	8089
383	5036	8079
384	5051	8069
385	5067	8060
386	5082	8050
387	5097	8040
388	5111	8028
389	5127	8019
390	5141	8007
391	5155	7995
392	5168	7983
393	5183	7972
394	5197	7961
395	5212	7950
396	5225	7936
397	5239	7924
398	5253	7912
399	5265	7898
400	5278	7885
401	5291	7870
402	5304	7858
403	5316	7843
404	5329	7829
405	5341	7815
406	5354	7801
407	5367	7788
408	5380	7774
409	5393	7760
410	5405	7746
411	5418	7733
412	5431	7719
413	5443	7705
414	5457	7692
415	5470	7680
416	5484	7667
417	5496	7653
418	5509	7639
419	5522	7626
420	5534	7612
421	5547	7598
422	5560	7585
423	5572	7570
424	5586	7557
425	5598	7543
426	5611	7529
427	5623	7516
428	5636	7502
429	5649	7489
430	5662	7475
431	5675	7462
432	5689	7449
433	5702	7436
434	5714	7422
435	5727	7408
436	5740	7395
437	5753	7382
438	5766	7369
439	5778	7354
440	5791	7341
441	5804	7327
442	5816	7313
443	5829	7300
444	5841	7285
445	5854	7272
446	5867	7259
447	5879	7244
448	5892	7231
449	5904	7217
450	5918	7204
451	5930	7190
452	5943	7176
453	5955	7161
454	5967	7147
455	5980	7135
456	5995	7124
457	6009	7112
458	6023	7099
459	6038	7088
460	6052	7076
461	6065	7063
462	6077	7048
463	6107	7055
464	6119	7041
465	6132	7027
466	6145	7013
467	6157	6999
468	6170	6986
469	6183	6972
470	6196	6959
471	6209	6946
472	6222	6932
473	6234	6918
474	6247	6905
475	6262	6893
476	6274	6879
477	6288	6867
478	6301	6853
479	6313	6840
480	6326	6826
481	6339	6812
482	6351	6798
483	6364	6785
484	6376	6770
485	6389	6757
486	6401	6743
487	6414	6729
488	6427	6716
489	6439	6702
490	6452	6688
491	6465	6675
492	6478	6662
493	6489	6647
494	6502	6633
495	6517	6622
496	6530	6609
497	6542	6594
498	6554	6581
499	6566	6566
500	6579	6553
501	6591	6539
502	6604	6525
503	6617	6512
504	6630	6499
505	6644	6486
506	6657	6473
507	6671	6460
508	6684	6447
509	6696	6433
510	6709	6420
511	6721	6406
512	6734	6393
513	6747	6380
514	6760	6366
515	6772	6352
516	6785	6339
517	6798	6326
518	6811	6313
519	6825	6300
520	6837	6286
521	6849	6272
522	6863	6259
523	6876	6246
524	6889	6233
525	6901	6219
526	6914	6205
527	6927	6193
528	6939	6178
529	6952	6165
530	6965	6151
531	6977	6138
532	6991	6125
533	7003	6111
534	7016	6098
535	7029	6085
536	7044	6073
537	7058	6061
538	7073	6050
539	7087	6037
540	7100	6023
541	7112	6010
542	7125	5996
543	7138	5983
544	7151	5970
545	7165	5957
546	7177	5944
547	7190	5930
548	7202	5916
549	7215	5903
550	7228	5890
551	7242	5877
552	7254	5863
553	7267	5850
554	7280	5837
555	7294	5825
556	7306	5811
557	7320	5798
558	7336	5787
559	7351	5775
560	7367	5765
561	7382	5753
562	7396	5740
563	7409	5728
564	7423	5715
565	7436	5701
566	7448	5688
567	7461	5674
568	7473	5660
569	7486	5647
570	7499	5634
571	7511	5620
572	7524	5607
573	7537	5593
574	7549	5580
575	7563	5567
576	7575	5553
577	7588	5540
578	7600	5526
579	7613	5513
580	7625	5499
581	7638	5485
582	7650	5472
583	7663	5459
584	7676	5445
585	7690	5432
586	7704	5420
587	7717	5407
588	7730	5394
589	7743	5380
590	7756	5367
591	7768	5354
592	7781	5340
593	7794	5327
594	7812	5317
595	7831	5308
596	7844	5295
597	7857	5282
598	7870	5268
599	7882	5254
600	7894	5241
601	7907	5227
602	7920	5214
603	7933	5201
604	7945	5187
605	7958	5174
606	7971	5160
607	7984	5147
608	7998	5135
609	8010	5121
610	8023	5108
611	8035	5094
612	8048	5080
613	8060	5067
614	8071	5053
615	8086	5041
616	8101	5029
617	8115	5016
618	8127	5002
619	8140	4989
620	8152	4975
621	8166	4962
622	8178	4949
623	8191	4935
624	8205	4923
625	8218	4910
626	8231	4896
627	8243	4883
628	8256	4869
629	8269	4856
630	8281	4843
631	8294	4829
632	8307	4816
633	8320	4803
634	8333	4790
635	8346	4776
636	8358	4763
637	8370	4749
638	8383	4735
639	8396	4723
640	8408	4709
641	8421	4696
642	8434	4683
643	8447	4669
644	8460	4656
645	8473	4643
646	8485	4629
647	8498	4616
648	8512	4603
649	8525	4590
650	8538	4577
651	8551	4564
652	8563	4550
653	8576	4537
654	8588	4523
655	8601	4510
656	8614	4497
657	8626	4483
658	8638	4470
659	8651	4456
660	8665	4444
661	8678	4431
662	8691	4418
663	8703	4404
664	8716	4391
665	8731	4378
666	8745	4366
667	8758	4352
668	8771	4339
669	8784	4326
670	8796	4313
671	8809	4299
672	8822	4286
673	8834	4273
674	8847	4260
675	8861	4247
676	8873	4233
677	8885	4219
678	8897	4206
679	8910	4193
680	8923	4180
681	8936	4167
682	8949	4153
683	8962	4140
684	8975	4127
685	8988	4114
686	9002	4101
687	9015	4088
688	9028	4075
689	9041	4061
690	9054	4048
691	9067	4036
692	9081	4022
693	9093	4009
694	9105	3996
695	9120	3983
696	9136	3971
697	9148	3958
698	9161	3945
699	9175	3932
700	9187	3918
701	9201	3905
702	9214	3892
703	9227	3879
704	9239	3866
705	9253	3853
706	9266	3840
707	9280	3827
708	9293	3814
709	9306	3801
710	9319	3788
711	9332	3774
712	9345	3761
713	9358	3748
714	9371	3735
715	9383	3722
716	9397	3709
717	9409	3695
718	9421	3682
719	9434	3669
720	9447	3655
721	9460	3642
722	9472	3629
723	9485	3615
724	9497	3602
725	9510	3589
726	9523	3576
727	9536	3563
728	9549	3550
729	9563	3537
730	9576	3523
731	9588	3510
732	9601	3497
733	9614	3484
734	9627	3471
735	9639	3457
736	9652	3444
737	9665	3431
738	9678	3418
739	9691	3405
740	9704	3392
741	9718	3379
742	9731	3365
743	9744	3352
744	9757	3339
745	9772	3327
746	9784	3314
747	9797	3300
748	9811	3287
749	9824	3274
750	9836	3261
751	9849	3248
752	9862	3235
753	9876	3222
754	9888	3208
755	9901	3195
756	9914	3182
757	9927	3169
758	9940	3156
759	9952	3142
760	9965	3129
761	9978	3116
762	9991	3103
763	10004	3090
764	10016	3076
765	10030	3064
766	10044	3051
767	10057	3038
768	10070	3025
769	10083	3011
770	10095	2998
771	10108	2985
772	10122	2972
773	10137	2960
774	10153	2947
775	10166	2934
776	10179	2921
777	10194	2908
778	10208	2895
779	10220	2882
780	10233	2869
781	10245	2856
782	10258	2843
783	10272	2830
784	10284	2816
785	10297	2803
786	10310	2790
787	10322	2777
788	10335	2763
789	10347	2750
790	10360	2737
791	10373	2724
792	10387	2711
793	10399	2697
794	10411	2684
795	10424	2671
796	10436	2658
797	10449	2645
798	10461	2631
799	10474	2618
800	10487	2605
801	10500	2592
802	10512	2579
803	10525	2565
804	10538	2552
805	10551	2539
806	10563	2526
807	10576	2513
808	10590	2500
809	10602	2486
810	10615	2473
811	10628	2460
812	10641	2447
813	10653	2434
814	10666	2421
815	10680	2408
816	10693	2395
817	10707	2382
818	10720	2369
819	10734	2356
820	10746	2343
821	10759	2330
822	10773	2316
823	10786	2303
824	10798	2290
825	10811	2277
826	10825	2264
827	10839	2251
828	10851	2238
829	10864	2225
830	10876	2212
831	10889	2198
832	10905	2186
833	10918	2173
834	10930	2159
835	10945	2147
836	10958	2134
837	10971	2121
838	10984	2107
839	10997	2094
840	11010	2081
841	11022	2068
842	11035	2055
843	11048	2042
844	11062	2029
845	11074	2015
846	11087	2002
847	11099	1989
848	11115	1976
849	11129	1963
850	11142	1950
851	11157	1938
852	11172	1925
853	11186	1912
854	11199	1899
855	11212	1886
856	11225	1873
857	11237	1859
858	11250	1846
859	11263	1833
860	11275	1820
861	11288	1807
862	11300	1793
863	11314	1780
864	11326	1767
865	11338	1754
866	11353	1741
867	11365	1728
868	11378	1715
869	11390	1702
870	11403	1688
871	11416	1675
872	11429	1662
873	11442	1649
874	11454	1636
875	11467	1623
876	11481	1610
877	11493	1597
878	11505	1583
879	11518	1570
880	11531	1557
881	11543	1544
882	11556	1531
883	11569	1518
884	11581	1504
885	11594	1491
886	11609	1478
887	11622	1465
888	11636	1452
889	11649	1439
890	11662	1426
891	11675	1413
892	11688	1400
893	11702	1387
894	11714	1374
895	11728	1361
896	11741	1348
897	11754	1335
898	11767	1322
899	11780	1308
900	11794	1295
901	11806	1282
902	11819	1269
903	11831	1256
904	11844	1243
905	11856	1230
906	11869	1217
907	11885	1204
908	11897	1191
909	11910	1177
910	11923	1164
911	11936	1151
912	11948	1138
913	11961	1125
914	11973	1112
915	11986	1099
916	11998	1086
917	12012	1072
918	12024	1059
919	12039	1046
920	12052	1033
921	12065	1020
922	12077	1007
923	12090	994
924	12102	981
925	12115	968
926	12128	955
927	12141	941
928	12154	928
929	12167	915
930	12180	902
931	12195	889
932	12211	876
933	12224	863
934	12236	850
935	12249	837
936	12262	824
937	12275	811
938	12289	798
939	12302	785
940	12314	772
941	12328	759
942	12341	745
943	12356	732
944	12377	720
945	12391	707
946	12404	694
947	12416	681
948	12429	667
949	12442	654
950	12455	641
951	12468	628
952	12481	615
953	12494	602
954	12506	589
955	12519	576
956	12532	563
957	12545	550
958	12558	536
959	12571	523
960	12583	510
961	12595	497
962	12609	484
963	12622	471
964	12634	458
965	12648	445
966	12661	432
967	12674	418
968	12688	405
969	12701	392
970	12714	379
971	12726	366
972	12739	353
973	12753	340
974	12766	327
975	12779	314
976	12792	301
977	12804	288
978	12817	274
979	12830	261
980	12843	248
981	12856	235
982	12869	222
983	12882	209
984	12895	196
985	12908	183
986	12921	170
987	12933	157
988	12946	143
989	12958	130
990	12971	117
991	12983	104
992	12996	91
993	13008	78
994	13021	65
995	13033	52
996	13046	39
997	13059	26
998	13071	13
999	13083	0
